key,spec_hash,status,reviewer,date,notes
learning.char.a,6efde0eb69d6ebc4b63e8fa5c5933972316d031bab793629c118108d873695bb,approved,,2026-08-19,
learning.char.a_circumflex,9454f34ab1d79670401f42d3db66f41c501fbdf3dd456829d6e6d3ecb0def562,approved,,2026-08-22,
learning.char.b,0fe7249f6f6e1b161699f92a93ad8d4bdf782e3763d581819087738133b2d629,approved,,2026-08-19,
learning.char.c,d26d3e20c49cf4f7a40d8829bd67d7101e19271b8ad6afd66b731f468ab62358,approved,,2026-08-19,
learning.char.d,f11c6f2ddbfff35b82998fc0ff204af79067b8ac3713e5c941659ada6d4bc649,approved,,2026-08-19,
learning.char.e,ab84cd11721e324a827033fe7cde2cf3abaa1b8f717d58dda2915dedc0ef5a1c,approved,,2026-08-19,
learning.char.e_acute,3169964df2015f16f24b6148c70f74cacae3e57de23aba90eb14ba60ec81ab6b,approved,,2026-08-22,
learning.char.e_circumflex,8ab431933e519126a929e5bc9f2e6af39dfe45ce49988182fc42e9b8335faa51,approved,,2026-08-22,
learning.char.e_grave,a52a1385a3c467907c91a7c67e0184217811cabace44f373be674167b47f084b,approved,,2026-08-22,
learning.char.f,145d4e3f8e029de26eb57faaeaf9bd381370bb2999bc85d7732c7ea6d7e40fb6,approved,,2026-08-19,
learning.char.g,4a21ce4eb36f34b1579216b0e2b0ccfe84c58cba10a62e6515e97fcf129e1bec,approved,,2026-08-19,
learning.char.h,1abc336bb22301306be27e36c797c050d8aa2feeddcd5f3497de45b3cc5e81e1,approved,,2026-08-19,
learning.char.i,674a397b92ad202b4f9c559d807895395c9b14cf4e7b4107a59c8a26f5e2bed2,approved,,2026-08-19,
learning.char.i_circumflex,49943006b82a99b92fd805b1e6040fd33e8ac88c11ecb633be7d446f16c97b23,approved,,2026-08-22,
learning.char.j,87050236201de62ebc048e9b97cf2b3a05c381f1f70d1d14915c25d13a7c1f73,approved,,2026-08-19,
learning.char.k,c6e6473892f1364b0de2e1ca99e711570448ad2b94f5903c140df21bbe6973fc,approved,,2026-08-19,
learning.char.l,c90de944cc0ad4e13a0705d35a520275cba3b81ce154bb7520e31e7d518d3bc4,approved,,2026-08-19,
learning.char.m,7ea0faec66cfc8fa4c4d7573db95f88d68bb963b62d05597b0449a5fc14f3faa,approved,,2026-08-19,
learning.char.n,69d71017f8bb960f98e1f66ab66bc4e6b447c9022b34f5bef2d363e72f426e27,rejected,,2026-08-19,too long
